name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Faribault-Northfield, MN Micro Area",279700,78214,32398,25532,129,146,1755,483,4353,67152,45707,15189,830,5426
"Farmington, MO Micro Area",141700,53083,26358,24183,52,0,307,403,1413,66814,53446,11854,311,1203
"Farmington, NM Metro Area",170700,50734,44516,40888,93,61,1130,209,2135,121798,75972,42003,624,3199
"Fayetteville, NC Metro Area",175600,57488,233135,208114,904,174,7906,3025,13012,522537,252287,215897,20746,33607
"Fayetteville-Springdale-Rogers, AR Metro Area",242800,73316,268013,230732,894,931,3823,1613,30020,550596,248795,232077,6921,62803
"Fergus Falls, MN Micro Area",234200,67990,27776,23278,261,124,949,397,2767,60072,42710,15487,363,1512
"Fernley, NV Micro Area",314200,70026,25834,23151,266,29,386,176,1826,59435,19811,34820,649,4155
"Findlay, OH Micro Area",179600,67006,36806,33105,107,102,665,339,2488,75072,60544,11699,590,2239
"Fitzgerald, GA Micro Area",100000,38255,7099,6776,56,0,16,48,203,17169,13420,3170,184,395
"Flagstaff, AZ Metro Area",379400,67266,66342,52052,1241,1058,4967,753,6271,144705,75123,61134,1138,7310
"Flint, MI Metro Area",158400,58594,170085,152262,2110,142,1697,1260,12614,405280,336687,55605,2148,10840
"Florence, SC Metro Area",150300,52401,85563,77568,118,113,843,1262,5659,200040,153573,40542,1105,4820
"Florence-Muscle Shoals, AL Metro Area",164400,56113,68153,63331,31,30,717,529,3515,151599,110675,37126,594,3204
"Fond du Lac, WI Metro Area",195800,70368,52489,46306,115,250,1450,576,3792,104027,85040,14925,496,3566
"Forest City, NC Micro Area",158200,50512,26021,23762,17,26,316,455,1445,64680,43288,18933,490,1969
"Forrest City, AR Micro Area",82400,39822,7810,7335,12,0,172,92,199,23138,16351,6007,40,740
"Fort Collins, CO Metro Area",488300,87199,189742,142573,1916,4743,5684,1784,33042,359363,141659,193289,4003,20412
"Fort Dodge, IA Micro Area",130400,65335,17470,15770,42,38,604,291,725,36986,28630,7219,174,963
"Fort Leonard Wood, MO Micro Area",177400,62541,26813,19057,63,61,6204,250,1178,53726,17996,30930,1966,2834
"Fort Madison-Keokuk, IA-IL-MO Micro Area",114500,58590,25811,23138,130,127,599,141,1676,57717,36134,20627,224,732
"Fort Morgan, CO Micro Area",277400,70471,13360,11897,0,13,389,98,963,29045,16638,8410,281,3716
"Fort Payne, AL Micro Area",129000,47920,30290,28581,31,8,379,135,1156,71680,48260,17989,154,5277
"Fort Polk South, LA Micro Area",141900,56547,20966,18742,38,23,763,424,976,48452,24421,20923,1502,1606
"Fort Smith, AR-OK Metro Area",146600,53224,103049,95104,216,89,1202,1288,5150,245475,139770,89175,1742,14788
"Fort Wayne, IN Metro Area",175100,66758,203404,181992,1544,612,2829,1606,14821,419715,287573,99721,3165,29256
"Frankfort, IN Micro Area",140100,59515,15322,13942,0,43,222,224,891,33020,25425,4706,252,2637
"Frankfort, KY Micro Area",188900,64669,35154,30364,289,0,525,302,3674,75314,55670,16857,437,2350
"Fredericksburg, TX Micro Area",399400,70162,12087,10454,49,0,405,47,1132,26953,17586,6526,196,2645
"Freeport, IL Micro Area",122000,57527,20106,17195,158,90,577,266,1820,44482,31789,11507,131,1055
"Fremont, NE Micro Area",168900,66793,17862,16512,3,172,295,235,645,37175,26644,8068,268,2195
"Fremont, OH Micro Area",142300,60814,27071,25524,65,80,286,301,815,58885,49854,7810,171,1050
"Fresno, CA Metro Area",338200,67756,411511,360440,3531,1848,6174,5714,33804,1008280,697510,99350,10652,200768
"Gadsden, AL Metro Area",148400,52177,43715,41626,50,0,388,313,1338,103348,80540,19682,670,2456
"Gaffney, SC Micro Area",124500,47011,23919,22265,11,0,170,331,1142,56200,38360,16113,286,1441
"Gainesville, FL Metro Area",226100,56638,154744,126778,3860,2569,3526,2456,15555,341067,181138,118189,8820,32920
"Gainesville, GA Metro Area",277900,74153,97489,85579,621,20,1007,1803,8459,204953,109324,58576,2441,34612
"Gainesville, TX Micro Area",207100,66374,19886,17817,74,57,303,327,1308,41860,28183,9960,610,3107
"Galesburg, IL Micro Area",96800,50263,20421,18508,108,26,627,173,979,49751,39362,8368,361,1660
"Gallup, NM Micro Area",70200,44029,23701,20172,343,21,639,69,2457,72073,54857,14830,318,2068
"Garden City, KS Micro Area",182100,68481,20041,18919,63,19,173,95,772,42151,23123,9849,308,8871
"Gardnerville Ranchos, NV Micro Area",529600,84262,21142,17745,30,145,444,578,2200,49476,8727,37214,446,3089
"Georgetown, SC Micro Area",234600,59782,25553,22189,148,14,468,417,2317,63594,37175,24097,372,1950
"Gettysburg, PA Metro Area",242800,78975,50568,43881,113,198,1764,297,4315,104604,64177,35819,1073,3535
"Gillette, WY Micro Area",245900,88151,30237,27245,452,110,533,196,1701,60985,25008,33853,469,1655
"Glasgow, KY Micro Area",144300,47855,22543,20444,64,0,309,317,1409,54824,40862,12293,402,1267
"Glens Falls, NY Metro Area",208800,71380,59342,52120,337,162,1613,784,4326,126994,97361,24638,971,4024
"Glenwood Springs, CO Micro Area",485700,86831,43546,32557,2398,1526,1969,515,4581,79008,29460,37001,1910,10637
"Gloversville, NY Micro Area",142000,60557,23844,21615,116,44,498,276,1295,53280,46577,5150,472,1081
"Goldsboro, NC Metro Area",152300,54323,52846,49782,231,77,453,309,1994,117480,76721,30262,2148,8349
"Granbury, TX Micro Area",249400,80013,26263,23134,0,0,279,222,2628,62459,38560,20717,539,2643
"Grand Forks, ND-MN Metro Area",225400,65971,54780,48134,657,194,2407,547,2841,104055,55739,42027,973,5316
"Grand Island, NE Metro Area",186200,63314,37624,35130,146,45,582,442,1279,76726,53294,13483,415,9534
"Grand Junction, CO Metro Area",312600,68077,72651,59453,542,991,1412,1564,8689,156131,77571,71332,1138,6090
